label,sku,name,category,qty
1143-0003-0096,1143-0003-0096,"1143 Series Mini Low-Side U-Channel (3 Hole, 96mm Length)",Structure,2
1222-0001-0001,1222-0001-0001,1222 Series Flat Pattern Mount (1-1),Structure,2
1516-4008-0430,1516-4008-0430,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 43mm Length) - 4 Pack",Structure,2
2000-0025-0003 Side Label,2000-0025-0003,"2000 Series Dual Mode Servo (25-3, Speed)",Actuators,2
2000-0025-0003 Top Label,2000-0025-0003,"2000 Series Dual Mode Servo (25-3, Speed)",Actuators,2
2909-0101-0100 (3200-2627-0004_E),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,2
2909-0101-0100 (3200-2627-0004_Q),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,2
3613-0014-0072,3613-0014-0072,"GripForce Gecko™ Wheel (14mm Bore, 72mm Diameter, 30A Durometer)",Wheels,2
5103 Gearbox Bearing,,,Actuators,2
Botcase,,,Actuators,2
Core,,,Wheels,2
Core,,,Wheels,2
H25T Spline,,,Other,2
Midcase,,,Actuators,2
PLATE,,,Wheels,2
Topcase,,,Actuators,2
Wire Seal,,,Actuators,2
1117-0040-0352 (3200-2627-0004_B),1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,1
1117-0040-0352 (3200-2627-0004_D),1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,1
1117-0088-0352 (3200-2627-0004_E),1117-0088-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)",Structure,1
1117-0088-0352 (3200-2627-0004_F),1117-0088-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)",Structure,1
1117-0088-0352 (3200-2627-0004_G),1117-0088-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)",Structure,1
1117-0216-0352 (3200-2627-0004_H),1117-0216-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 27 x 44 Hole, 216 x 352mm)",Structure,1
1120-0002-0072,1120-0002-0072,"1120 Series U-Channel (2 Hole, 72mm Length)",Structure,1
1120-0008-0216,1120-0008-0216,"1120 Series U-Channel (8 Hole, 216mm Length)",Structure,1
1516-4008-0240,1516-4008-0240,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 24mm Length) - 4 Pack",Structure,1
2000-0025-0002 Side Label,2000-0025-0002,"2000 Series Dual Mode Servo (25-2, Torque)",Actuators,1
2000-0025-0002 Top Label,2000-0025-0002,"2000 Series Dual Mode Servo (25-2, Torque)",Actuators,1
2302-0014-0100,2302-0014-0100,"2302 Series Aluminum, MOD 0.8, Hub Mount Gear (14mm Bore, 100 Tooth)",Motion,1
2909-0101-0100 (3200-2627-0004_B),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_C),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_F),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_G),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_H0),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_H1),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_I),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_J),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_K),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_L),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_M),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_N),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_O),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_P),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_R),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0101-0100 (3200-2627-0004_S),2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,1
2909-0102-0250-Loop,2909-0102-0250,goBILDA® Hook & Loop Cinch-Strap (20mm Width x 250mm Length) - 4 Pack,Fasteners,1
3100-0012-0020,3100-0012-0020,"12V NiMH Nested Battery (3000mAh, MH-FC XT30 Connector)",Electronics,1
3626-0014-0096,3626-0014-0096,"Hogback Traction Wheel (96mm Diameter, 50A Durometer)",Wheels,1
5103 Gearbox Barrel (simple),,,Actuators,1
5103 Gearbox Base,,,Actuators,1
5103 Gearbox Face,,,Actuators,1
5103 Gearbox Shaft (Simple),,,Actuators,1
5103 Gearbox Snap Ring,,,Actuators,1
5203-2402-0051 Label,5203-2402-0051,"5203 Series Yellow Jacket Planetary Gear Motor (50.9:1 Ratio, 24mm Length 8mm REX® Shaft, 117 RPM, 3.3 - 5V Encoder)",Actuators,1
Botcase,,,Actuators,1
H25T Spline,,,Other,1
Midcase,,,Actuators,1
PLATE,,,Wheels,1
PLATE,,,Wheels,1
Strap (Installed),,,Other,1
Topcase,,,Actuators,1
Wire Seal,,,Actuators,1
