sku,name,category,qty,pack_size,packs_to_buy,also_inside_subassemblies,name_source,url
3217-0001-2501,"Compact ServoBlock® (43mm Width, For Standard Size H25T Spline Servo, Hub-Shaft)",Motion,3,1,3,0,gobilda.com,https://www.gobilda.com/compact-servoblock-43mm-width-for-standard-size-h25t-spline-servo-hub-shaft/
2106-4008-0800,"8mm REX® Shaft with E-Clip (Stainless Steel, 80mm Length)",Motion,2,1,2,0,gobilda.com,https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-80mm-length/
1310-0016-4008,1310 Series Hyper Hub (8mm REX® Bore),Motion,1,1,1,0,gobilda.com,https://www.gobilda.com/1310-series-hyper-hub-8mm-rex-bore/
2106-4008-2400,"8mm REX® Shaft with E-Clip (Stainless Steel, 240mm Length)",Motion,1,1,1,0,gobilda.com,https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-240mm-length/
2106-4008-2640,"8mm REX® Shaft with E-Clip (Stainless Steel, 264mm Length)",Motion,1,1,1,0,gobilda.com,https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-264mm-length/
2302-0014-0100,"2302 Series Aluminum, MOD 0.8, Hub Mount Gear (14mm Bore, 100 Tooth)",Motion,1,1,1,0,gobilda.com,https://www.gobilda.com/2302-series-aluminum-mod-0-8-hub-mount-gear-14mm-bore-100-tooth/
2303-4008-0020,"2303 Series Steel, MOD 0.8 Pinion Gear (8mm REX® Bore, 20 Tooth)",Motion,1,1,1,0,gobilda.com,https://www.gobilda.com/2303-series-steel-mod-0-8-pinion-gear-8mm-rex-bore-20-tooth/
5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",Actuators,5,1,5,5,gobilda.com,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-19-2-1-ratio-24mm-length-8mm-rex-shaft-312-rpm-3-3-5v-encoder/
2000-0025-0003,"2000 Series Dual Mode Servo (25-3, Speed)",Actuators,2,1,2,4,gobilda.com,https://www.gobilda.com/2000-series-dual-mode-servo-25-3-speed/
2000-0025-0002,"2000 Series Dual Mode Servo (25-2, Torque)",Actuators,1,1,1,2,gobilda.com,https://www.gobilda.com/2000-series-dual-mode-servo-25-2-torque/
5203-2402-0051,"5203 Series Yellow Jacket Planetary Gear Motor (50.9:1 Ratio, 24mm Length 8mm REX® Shaft, 117 RPM, 3.3 - 5V Encoder)",Actuators,1,1,1,1,gobilda.com,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-50-9-1-ratio-24mm-length-8mm-rex-shaft-117-rpm-3-3-5v-encoder/
3618-4008-0016,"Intake Roller Wheel (8mm REX®, 16mm Diameter, 16mm Width, 30A Durometer) - 8 Pack",Wheels,16,8,2,0,gobilda.com,https://www.gobilda.com/intake-roller-wheel-8mm-rex-16mm-diameter-16mm-width-30a-durometer-8-pack/
3613-4008-0048,"GripForce Gecko™ Wheel (8mm REX® Bore, 48mm Diameter, 30A Durometer)",Wheels,7,1,7,0,gobilda.com,https://www.gobilda.com/gripforce-gecko-wheel-8mm-rex-bore-48mm-diameter-30a-durometer/
3613-0014-0072,"GripForce Gecko™ Wheel (14mm Bore, 72mm Diameter, 30A Durometer)",Wheels,2,1,2,0,gobilda.com,https://www.gobilda.com/gripforce-gecko-wheel-14mm-bore-72mm-diameter-30a-durometer/
3625-0202-0104,"GripForce™ Mecanum Wheel Set (Ø104mm, 40A Durometer Rollers)",Wheels,1,1,1,0,gobilda.com,https://www.gobilda.com/gripforce-mecanum-wheel-set-o104mm-40a-durometer-rollers/
3626-0014-0096,"Hogback Traction Wheel (96mm Diameter, 50A Durometer)",Wheels,1,1,1,0,gobilda.com,https://www.gobilda.com/hogback-traction-wheel-96mm-diameter-50a-durometer/
2800-0004-0010,M4 x 0.7mm Zinc-Plated Socket Head Screw (10mm Length) - 25 Pack,Fasteners,75,25,3,0,inferred,
2822-0004-0010,Premium M4 Socket Head Thread-Locking Screw (10mm Length) - 25 Pack,Fasteners,44,25,2,0,gobilda.com,https://www.gobilda.com/premium-m4-socket-head-thread-locking-screw-10mm-length-25-pack/
2812-0004-0007,"2812 Series Zinc-Plated Steel Nylock Nut (M4 x 0.7mm, 7mm Hex)",Fasteners,39,1,39,16,inferred,
2800-0004-0012,M4 x 0.7mm Zinc-Plated Socket Head Screw (12mm Length) - 25 Pack,Fasteners,33,25,2,0,inferred,
2801-0004-0008,2801 Series Zinc-Plated Steel Washer (4mm ID x 8mm OD),Fasteners,30,1,30,12,inferred,
2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",Fasteners,28,100,1,0,gobilda.com,https://www.gobilda.com/zip-tie-100mm-length-black-100-pack/
2800-0004-0008,M4 x 0.7mm Zinc-Plated Socket Head Screw (8mm Length) - 25 Pack,Fasteners,20,25,1,28,gobilda.com,https://www.gobilda.com/2800-series-zinc-plated-steel-socket-head-screw-m4-x-0-7mm-8mm-length-25-pack/
2800-0004-0006,M4 x 0.7mm Zinc-Plated Socket Head Screw (6mm Length) - 25 Pack,Fasteners,8,25,1,0,gobilda.com,https://www.gobilda.com/2800-series-zinc-plated-steel-socket-head-screw-m4-x-0-7mm-6mm-length-25-pack/
2800-0004-0020,M4 x 0.7mm Zinc-Plated Socket Head Screw (20mm Length) - 25 Pack,Fasteners,4,25,1,16,gobilda.com,https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-20mm-length-25-pack/
2807-0609-0250,"2807 Series Stainless Steel Shim (6mm ID x 9mm OD, 0.25mm Thickness) - 12 Pack",Fasteners,4,12,1,0,gobilda.com,https://www.gobilda.com/2807-series-stainless-steel-shim-6mm-id-x-9mm-od-0-25mm-thickness-12-pack/
2807-0811-0500,"2807 Series Stainless Steel Shim (8mm ID x 11mm OD, 0.50mm Thickness) - 12 Pack",Fasteners,4,12,1,0,gobilda.com,https://www.gobilda.com/2807-series-stainless-steel-shim-8mm-id-x-11mm-od-0-50mm-thickness-12-pack/
2909-0102-0250,goBILDA® Hook & Loop Cinch-Strap (20mm Width x 250mm Length) - 4 Pack,Fasteners,1,4,1,1,gobilda.com,https://www.gobilda.com/gobilda-hook-loop-cinch-strap-20mm-width-x-250mm-length-4-pack/
3100-0012-0020,"12V NiMH Nested Battery (3000mAh, MH-FC XT30 Connector)",Electronics,1,1,1,0,gobilda.com,https://www.gobilda.com/12v-nimh-nested-battery-3000mah-mh-fc-xt30-connector/
