label,sku,name,category,qty,type
1611-0514-4008,1611-0514-4008,"1611 Series Flanged Ball Bearing (8mm REX® ID x 14mm OD, 5mm Thickness) - 2 Pack",Motion,1,subassembly
1611-0514-4008,1611-0514-4008,"1611 Series Flanged Ball Bearing (8mm REX® ID x 14mm OD, 5mm Thickness) - 2 Pack",Motion,1,subassembly
1611-0514-4008,1611-0514-4008,"1611 Series Flanged Ball Bearing (8mm REX® ID x 14mm OD, 5mm Thickness) - 2 Pack",Motion,1,subassembly
2000-0025-0002,2000-0025-0002,"2000 Series Dual Mode Servo (25-2, Torque)",Actuators,1,subassembly
2000-0025-0003,2000-0025-0003,"2000 Series Dual Mode Servo (25-3, Speed)",Actuators,1,subassembly
2000-0025-0003,2000-0025-0003,"2000 Series Dual Mode Servo (25-3, Speed)",Actuators,1,subassembly
2106-4008-0800,2106-4008-0800,"8mm REX® Shaft with E-Clip (Stainless Steel, 80mm Length)",Motion,1,subassembly
2106-4008-0800,2106-4008-0800,"8mm REX® Shaft with E-Clip (Stainless Steel, 80mm Length)",Motion,1,subassembly
2106-4008-2400,2106-4008-2400,"8mm REX® Shaft with E-Clip (Stainless Steel, 240mm Length)",Motion,1,subassembly
2106-4008-2640,2106-4008-2640,"8mm REX® Shaft with E-Clip (Stainless Steel, 264mm Length)",Motion,1,subassembly
2110-0608-0002 w.Hardware (A),2110-0608-0002,Shouldered 8mm REX® Hub-Shaft (20mm Hub Offset),Motion,1,subassembly
2110-0608-0002 w.Hardware (A),2110-0608-0002,Shouldered 8mm REX® Hub-Shaft (20mm Hub Offset),Motion,1,subassembly
2110-0608-0002 w.Hardware (A),2110-0608-0002,Shouldered 8mm REX® Hub-Shaft (20mm Hub Offset),Motion,1,subassembly
2110-0608-0002 w.Hardware (A),2110-0608-0002,Shouldered 8mm REX® Hub-Shaft (20mm Hub Offset),Motion,1,subassembly
2302-0014-0100,2302-0014-0100,"2302 Series Aluminum, MOD 0.8, Hub Mount Gear (14mm Bore, 100 Tooth)",Motion,1,part
2303-4008-0020,2303-4008-0020,"2303 Series Steel, MOD 0.8 Pinion Gear (8mm REX® Bore, 20 Tooth)",Motion,1,subassembly
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,1,subassembly
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,1,subassembly
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,1,subassembly
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,1,subassembly
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,1,subassembly
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,1,subassembly
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,1,subassembly
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,1,subassembly
2920-0001-4008,2920-0001-4008,2920 Series Steel Set-Screw Collar (8mm REX® Bore) - 2 Pack,Motion,1,subassembly
2920-0001-4008,2920-0001-4008,2920 Series Steel Set-Screw Collar (8mm REX® Bore) - 2 Pack,Motion,1,subassembly
2920-0001-4008,2920-0001-4008,2920 Series Steel Set-Screw Collar (8mm REX® Bore) - 2 Pack,Motion,1,subassembly
2920-0001-4008,2920-0001-4008,2920 Series Steel Set-Screw Collar (8mm REX® Bore) - 2 Pack,Motion,1,subassembly
3100-0012-0020,3100-0012-0020,"12V NiMH Nested Battery (3000mAh, MH-FC XT30 Connector)",Electronics,1,part
3217-0001-2501 w.Hardware (2.6),3217-0001-2501,"Compact ServoBlock® (43mm Width, For Standard Size H25T Spline Servo, Hub-Shaft)",Motion,1,subassembly
3217-0001-2501 w.Hardware (2.6),3217-0001-2501,"Compact ServoBlock® (43mm Width, For Standard Size H25T Spline Servo, Hub-Shaft)",Motion,1,subassembly
3217-0001-2501 w.Hardware (2.6),3217-0001-2501,"Compact ServoBlock® (43mm Width, For Standard Size H25T Spline Servo, Hub-Shaft)",Motion,1,subassembly
3625-0001-0104,3625-0001-0104,"GripForce™ Mecanum Wheel (Ø104mm, 40A, one of the four in set 3625-0202-0104)",Wheels,1,subassembly
3625-0001-0104,3625-0001-0104,"GripForce™ Mecanum Wheel (Ø104mm, 40A, one of the four in set 3625-0202-0104)",Wheels,1,subassembly
3625-0100-0104,3625-0100-0104,"GripForce™ Mecanum Wheel (Ø104mm, 40A, one of the four in set 3625-0202-0104)",Wheels,1,subassembly
3625-0100-0104,3625-0100-0104,"GripForce™ Mecanum Wheel (Ø104mm, 40A, one of the four in set 3625-0202-0104)",Wheels,1,subassembly
3626-0014-0096,3626-0014-0096,"Hogback Traction Wheel (96mm Diameter, 50A Durometer)",Wheels,1,part
5203-2402-0019,5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",Actuators,1,subassembly
5203-2402-0019,5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",Actuators,1,subassembly
5203-2402-0019,5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",Actuators,1,subassembly
5203-2402-0019,5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",Actuators,1,subassembly
5203-2402-0019,5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",Actuators,1,subassembly
5203-2402-0051,5203-2402-0051,"5203 Series Yellow Jacket Planetary Gear Motor (50.9:1 Ratio, 24mm Length 8mm REX® Shaft, 117 RPM, 3.3 - 5V Encoder)",Actuators,1,subassembly
Hardware,,,Other,1,subassembly
Zip Ties,,,Other,1,subassembly
