sku	name	url	source
1117-0040-0352	Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)	https://www.gobilda.com/clear-polycarbonate-grid-plate-1-5mm-thickness-5-x-44-hole-40-x-352mm/	gobilda.com
1117-0088-0352	Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)	https://www.gobilda.com/clear-polycarbonate-grid-plate-1-5mm-thickness-11-x-44-hole-88-x-352mm/	gobilda.com
1117-0216-0352	Clear Polycarbonate Grid Plate (1.5mm Thickness, 27 x 44 Hole, 216 x 352mm)	https://www.gobilda.com/clear-polycarbonate-grid-plate-1-5mm-thickness-27-x-44-hole-216-x-352mm/	gobilda.com
1120-0001-0048	1120 Series U-Channel (1 Hole, 48mm Length)	https://www.gobilda.com/1120-series-u-channel-1-hole-48mm-length/	gobilda.com
1120-0002-0072	1120 Series U-Channel (2 Hole, 72mm Length)	https://www.gobilda.com/1120-series-u-channel-2-hole-72mm-length/	gobilda.com
1120-0008-0216	1120 Series U-Channel (8 Hole, 216mm Length)	https://www.gobilda.com/1120-series-u-channel-8-hole-216mm-length/	gobilda.com
1120-0010-0264	1120 Series U-Channel (10 Hole, 264mm Length)	https://www.gobilda.com/1120-series-u-channel-10-hole-264mm-length/	gobilda.com
1120-0015-0384	1120 Series U-Channel (15 Hole, 384mm Length)	https://www.gobilda.com/1120-series-u-channel-15-hole-384mm-length/	gobilda.com
1121-0001-0048	1121 Series Low-Side U-Channel (1 Hole, 48mm Length)	https://www.gobilda.com/1121-series-low-side-u-channel-1-hole-48mm-length/	gobilda.com
1121-0005-0144	1121 Series Low-Side U-Channel (5 Hole, 144mm Length)	https://www.gobilda.com/1121-series-low-side-u-channel-5-hole-144mm-length/	gobilda.com
1121-0010-0264	1121 Series Low-Side U-Channel (10 Hole, 264mm Length)	https://www.gobilda.com/1121-series-low-side-u-channel-10-hole-264mm-length/	gobilda.com
1143-0003-0096	1143 Series Mini Low-Side U-Channel (3 Hole, 96mm Length)	https://www.gobilda.com/1143-series-mini-low-side-u-channel-3-hole-96mm-length/	gobilda.com
1201-0043-0002	1201 Series Quad Block Pattern Mount (43-2)	https://www.gobilda.com/1201-series-quad-block-pattern-mount-43-2/	gobilda.com
1205-0001-0005	1205 Series Dual Block Mount (1-5) - 2 Pack	https://www.gobilda.com/1205-series-dual-block-mount-1-5-2-pack/	gobilda.com
1209-0001-0001	Battery Mount for 12V NiMH Nested Battery	https://www.gobilda.com/battery-mount-for-12v-nimh-nested-battery/	gobilda.com
1222-0001-0001	1222 Series Flat Pattern Mount (1-1)	https://www.gobilda.com/1222-series-flat-pattern-mount-1-1/	gobilda.com
1309-0016-4008	1309 Series Sonic Hub (8mm REX® Bore)	https://www.gobilda.com/1309-series-sonic-hub-8mm-rex-bore/	gobilda.com
1310-0016-4008	1310 Series Hyper Hub (8mm REX® Bore)	https://www.gobilda.com/1310-series-hyper-hub-8mm-rex-bore/	gobilda.com
1501-0006-0430	1501 Series M4 x 0.7mm Standoff (6mm OD, 43mm Length) - 4 Pack	https://www.gobilda.com/1501-series-m4-x-0-7mm-standoff-6mm-od-43mm-length-4-pack/	gobilda.com
1502-0006-0110	1502 Series 4mm ID Spacer (6mm OD, 11mm Length) - 4 Pack	https://www.gobilda.com/1502-series-4mm-id-spacer-6mm-od-11mm-length-4-pack/	gobilda.com
1516-4008-0240	1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 24mm Length) - 4 Pack	https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-24mm-length-4-pack/	gobilda.com
1516-4008-0430	1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 43mm Length) - 4 Pack	https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-43mm-length-4-pack/	gobilda.com
1522-0010-0090	1522 Series 8mm ID Spacer (10mm OD, 9mm Length) - 4 Pack	https://www.gobilda.com/1522-series-8mm-id-spacer-10mm-od-9mm-length-4-pack/	gobilda.com
1522-0010-0120	1522 Series 8mm ID Spacer (10mm OD, 12mm Length) - 4 Pack	https://www.gobilda.com/1522-series-8mm-id-spacer-10mm-od-12mm-length-4-pack/	gobilda.com
1600-0307-0003	1600 Series Ball Bearing (3mm ID x 7mm OD, internal to mecanum rollers)		inferred
1600-0412-0008	1600 Series Ball Bearing (4mm ID x 12mm OD, internal to ServoBlock)		inferred
1611-0514-0006	1611 Series Flanged Ball Bearing (6mm ID x 14mm OD, 5mm Thickness) - 2 Pack	https://www.gobilda.com/1611-series-flanged-ball-bearing-6mm-id-x-14mm-od-5mm-thickness-2-pack/	gobilda.com
1611-0514-0008	1611 Series Flanged Ball Bearing (8mm ID x 14mm OD, 5mm Thickness) - 2 Pack	https://www.gobilda.com/1611-series-flanged-ball-bearing-8mm-id-x-14mm-od-5mm-thickness-2-pack/	gobilda.com
1611-0514-4008	1611 Series Flanged Ball Bearing (8mm REX® ID x 14mm OD, 5mm Thickness) - 2 Pack	https://www.gobilda.com/1611-series-flanged-ball-bearing-8mm-rex-id-x-14mm-od-5mm-thickness-2-pack/	gobilda.com
1805-0043-0001	Unknown (ServoBlock component, not listed on gobilda.com)		unknown
1910-0025-0812	1910 Series Servo Hub Shaft (25 Tooth Spline, 8mm Shaft Diameter, 12mm Length)		inferred
2000-0025-0002	2000 Series Dual Mode Servo (25-2, Torque)	https://www.gobilda.com/2000-series-dual-mode-servo-25-2-torque/	gobilda.com
2000-0025-0003	2000 Series Dual Mode Servo (25-3, Speed)	https://www.gobilda.com/2000-series-dual-mode-servo-25-3-speed/	gobilda.com
2106-4008-0800	8mm REX® Shaft with E-Clip (Stainless Steel, 80mm Length)	https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-80mm-length/	gobilda.com
2106-4008-2400	8mm REX® Shaft with E-Clip (Stainless Steel, 240mm Length)	https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-240mm-length/	gobilda.com
2106-4008-2640	8mm REX® Shaft with E-Clip (Stainless Steel, 264mm Length)	https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-264mm-length/	gobilda.com
2110-0608-0002	Shouldered 8mm REX® Hub-Shaft (20mm Hub Offset)	https://www.gobilda.com/shouldered-8mm-rex-hub-shaft-20mm-hub-offset/	gobilda.com
2302-0014-0100	2302 Series Aluminum, MOD 0.8, Hub Mount Gear (14mm Bore, 100 Tooth)	https://www.gobilda.com/2302-series-aluminum-mod-0-8-hub-mount-gear-14mm-bore-100-tooth/	gobilda.com
2303-4008-0020	2303 Series Steel, MOD 0.8 Pinion Gear (8mm REX® Bore, 20 Tooth)	https://www.gobilda.com/2303-series-steel-mod-0-8-pinion-gear-8mm-rex-bore-20-tooth/	gobilda.com
2320-4008-0024	Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)	https://www.gobilda.com/clamping-steel-miter-gear-8mm-rex-bore-24-tooth-mod-1/	gobilda.com
2800-0003-0008	Zinc-Plated Steel Socket Head Screw (M3 x 0.5mm, 8mm Length) - 6 Pack	https://www.gobilda.com/zinc-plated-steel-socket-head-screw-m3-x-0-5mm-8mm-length-6-pack/	gobilda.com
2800-0004-0006	M4 x 0.7mm Zinc-Plated Socket Head Screw (6mm Length) - 25 Pack	https://www.gobilda.com/2800-series-zinc-plated-steel-socket-head-screw-m4-x-0-7mm-6mm-length-25-pack/	gobilda.com
2800-0004-0008	M4 x 0.7mm Zinc-Plated Socket Head Screw (8mm Length) - 25 Pack	https://www.gobilda.com/2800-series-zinc-plated-steel-socket-head-screw-m4-x-0-7mm-8mm-length-25-pack/	gobilda.com
2800-0004-0010	M4 x 0.7mm Zinc-Plated Socket Head Screw (10mm Length) - 25 Pack		inferred
2800-0004-0012	M4 x 0.7mm Zinc-Plated Socket Head Screw (12mm Length) - 25 Pack		inferred
2800-0004-0014	M4 x 0.7mm Zinc-Plated Socket Head Screw (14mm Length) - 25 Pack		inferred
2800-0004-0020	M4 x 0.7mm Zinc-Plated Socket Head Screw (20mm Length) - 25 Pack	https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-20mm-length-25-pack/	gobilda.com
2801-0004-0008	2801 Series Zinc-Plated Steel Washer (4mm ID x 8mm OD)		inferred
2806-0005-0004	2806 Series Black Oxide Steel Cup-Point Set-Screw (M5 x 0.8mm, 4mm Length) - 25 Pack	https://www.gobilda.com/2806-series-black-oxide-steel-cup-point-set-screw-m5-x-0-8mm-4mm-length-25-pack/	gobilda.com
2807-0609-0250	2807 Series Stainless Steel Shim (6mm ID x 9mm OD, 0.25mm Thickness) - 12 Pack	https://www.gobilda.com/2807-series-stainless-steel-shim-6mm-id-x-9mm-od-0-25mm-thickness-12-pack/	gobilda.com
2807-0811-0500	2807 Series Stainless Steel Shim (8mm ID x 11mm OD, 0.50mm Thickness) - 12 Pack	https://www.gobilda.com/2807-series-stainless-steel-shim-8mm-id-x-11mm-od-0-50mm-thickness-12-pack/	gobilda.com
